OpenHarmony-SIG/flutter_flutter,flutter_flutter
AI,Hugging Face 数据集镜像/conv_ai,Mirror of https://huggingface.co/datasets/conv_ai
Flutter,白也/Flutter-BaiduDisk,Baidu Disk APP created using The Foundation ofFlutter
Flutter,luoyi/flutter_xupdate,AFlutterplugin for XUpdate(Android Version Update Library)
Flutter,jiguang-official/jmessage-flutter-plugin,JMessage'sFlutterplugin (Android & iOS). 极光推送官方支持的Flutter插件（Android & iOS）。
Flutter,Purgeyao/flutter_staggered_animations,flutter_staggered_animations修复flutter3
Flutter,aofeilin/flutter_ note,flutter_ note
Flutter,lihejia/flutter,forfluttergith
Flutter,tiger123/flutter,syncflutterversion
Flutter,万里/flutter_moban,fluttergetting started template
AI,Gitee 极速下载/rivet-ai-agent,Rivet 是由 Ironclad 公司开发的开源可视化AI编程环境，可让用户使用大语言模型构建AI代理 (AIAgent)
Flutter,flutter/flutter_1,IT营flutter初级教程
AI,gongcen/demo-by-ai,create everything byai
Flutter,XiLingPrime/flutter_seeWorld,一个基于flutter开发的im项目
AI,Hugging Face 数据集镜像/MarketMail-AI,of https://huggingface.co/datasets/FourthBrainGenAI/MarketMail-AI
Flutter,张奇文/flutter,flutter官网代码，原始获取速度太慢，备份方便拉取
AI,Hugging Face 数据集镜像/ai-arxiv,Mirror of https://huggingface.co/datasets/jamescalam/ai-arxiv
AI,幽鸟/AI_Space_Ship,AI飞机大战，AI玩飞机大战
AI,EMIIA.AI/www.emiia.ai,#cognitive_radio_optics #radio_optics #aiрадиооптика #ai_radio_optics #ai_сенсор #ai_антенна #ai_sensor #ai_antenna #активная_фазированная_антенная_решетка
AI,KoenChen/AI-Chat,AIChat Demo
AI,ouyangpeng/snake-ai,a snakeAIwritten in python
AI,Admin/jupyter-ai,A generativeAIextension for JupyterLab
AI,yifi/AI-Notes,MyAIlearning notes.
AI,yanzmgit/ai,My self study forAItech。
AI,姜周/AI_study,这个仓库是学习AI所需要的，放一些论文，资料，还有好用的代码
AI,Fantasy-Hao/ai_learning,"The repository for learningAI, belong to YuxinHao."
AI,Lionel_Whiteness/AI_Detect,CUC——School of Data Science and Intelligent Media——AI_detect
AI,huaweiggg/java_ai,hello javaai
AI,VAINHALO/sentiment.ai,Open SourceAI-Based Sentiment Analysis
AI,黄嘉欣/API_AI,记录api_ai学习课程的笔记
AI,张殃离/Ai-recognize,AI-recognization-test
Flutter,huayu/Flutter_ios,TestFlutter
AI,youngoldman/Game-AI,GameAIfor Machine Learning for Hackers #3
Another Query,R3Yun/R3Query,R3Query商业智能产品为快速交付应用、简化报表设计，提供了通用的开发环境，整合了企业报表领域各个周期的支持，其中包括报表设计、报表发布、报表生成、报表管理、订阅发布和报表监控等报表的整个生命周期的步骤。 R3Query分析展现平台是新型平台化，
Flutter,张鑫坤/mc_flutter_easyrefresh,一个flutter页面刷新库 来自Github https://github.com/CZXBigBrother/mc_flutter_easyrefresh.git
AI,monash_li/Jarvis_AI_dev,It is a open sourceAIassistant project.
Another Query,dromara/stream-query,允许完全摆脱Mapper的mybatis-plus体验！可以使用类似“工具类”这样的静态函数进行数据库操作
Flutter,情怀/flutter_stetho,IntegrateFlutterwith the Facebook Stetho tool for Android
AI,阿伦/AIExplore,和散落在全国的小伙伴一起，探索AI训练底座的软件系统
Another Query,薛家明/easy-query,"java/kotlin high performance lightweight solution for jdbcquery,support sharding table and database support master-replica"
Flutter,孙继雄/flutter,flutterSDK
AI,MindSpore Lab/mindrec,MindRec是昇思MindSpore在推荐领域的高性能加速库，提供了推荐领域AI模型的高效训推一体解决方案及流程指导
Another Query,rookie-ninja/rk-query,Human readablequerylogger. See https://rkdev.info/docs/ for details.
Flutter,快被玩坏了/flutter,flutter测试代码
Another Query,Hugging Face 数据集镜像/query2query_evaluation,Mirror of https://huggingface.co/datasets/neeva/query2query_evaluation
Flutter,CoderXb/flutter_shop,An example of a shopping mall APP based on theFlutterframework.
Another Query,薛纪克/lambda-query,基于Lambda的查询器 --> JPA lambda查询器 --> MongoDb lambda查询器-开发中
Flutter,imboy-tripartite-deps/flutter_downloader,镜像 https://github.com/fluttercommunity/flutter_downloader
Another Query,wangchenlu1007/another-helloworld,another-helloworld
Flutter,Fuge2008/FugeBlog-Flutter,My first blog project implemented by Dart+Flutter.
Another Query,src-openEuler/python-yaql,YAQL - YetAnotherQueryLanguage
Flutter,breakfly/flutter_colorpicker,针对flutter_colorpicker 最一些调整
Another Query,高研/another-helloworld,another-helloworld
Flutter,AriesHoo/flutter_readhub,Flutter版本Readhub非官方客户端
Another Query,敖梓淳/AnotherOne,2022BUPT导论大作业——易云祥、敖梓淳 主要内容为微信小程序端AnotherOne相关代码 【简介】 “AnotherOne”作为一款双端单向交互产品，用户A使用小程序端输入或设置各种事件，用户B便能在设备端收到相应信息，实现非即时通信，辅助
Flutter,天天小志/flutter_demo,Flutter中的一些测试或示例代码
Another Query,林丽蓉/another-helloworld,another-helloworld
AI,燃木/AI_yolov8实现的ai自瞄,基于yolov8的一个ai自瞄应用。能在fps游戏中实现自动瞄准，自动射击。主要使用《战地2》进行了开发和测试。
AI,Ikaros/AI-Vtuber,AIVtuber是一个由 【ChatterBot/gpt/claude/langchain_pdf+gpt/chatglm/langchain_pdf_local】 驱动的虚拟主播【Live2D】，可以在 【Bilibili/抖音/快手/微信视频号/斗鱼/油管/T台】
AI,李一帆/jhzk_ai,A project to researchaisolution for jhzk
AI,ezrealcong/ai,aifile upload
AI,张宇/AI-Imagery,Welcome toAIGit repository! This repository is designed to provide you with a web template that integrates AIGC-generated images
Flutter,Android_Boy/syncfusion_flutter_charts,图表库syncfusion_flutter_charts 源码修改 https://www.syncfusion.com/flutter-widgets/flutter-charts/chart-types/spline-chart
AI,LxzGordon/overcooked_ai,overcooked_aifrom HumanCompatibleAI
Flutter,catface7/flutter_demo,"start learnflutter, without foundmental"
AI,Ozzy/AI学习,这个仓库是进行AI学习，每一个代码都是循序渐进的。
Flutter,张正豪/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
Flutter,Chan66/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
AI,Tech-Maid/AI-Intelligent,微信小程序-垃圾分类，AI-Intelligent-Recognition-master
Another Query,Gx/another-helloworld,another-helloworld
Flutter,Cysir/flutter_repository,一个flutter上实现的repository库
AI,FlashingCloud/CSDN-AI-WORK,CSDN-AI-WORK
Another Query,浪客/another,another
Flutter,jiguang-official/jverify-flutter-plugin,JPush's officially supportedFlutterplugin (Android & iOS). 极光推送官方支持的Flutter插件（Android & iOS）。
AI,aiapp repo/ai-svc-template,ai-svc-template
Another Query,jiazhenhua/yet-another-lisp-interpreter,yet-another-lisp-interpreter. using Python. by Jiazh.
Flutter,huangjian/flutter_androidDemo,flutter-安卓混编 - aar方式Demo
AI,张文彬/dicui_ai,dicui_aifor android.
Another Query,guoqiang01486/Yet-Another-EfficientDet-Pytorch,This is forked from https://github.com/zylo117/Yet-Another-Efficient-Pytorch
Another Query,OpenCloudOS Stream/python-yaql,YetAnotherQueryLanguage
Flutter,imboy-tripartite-deps/qr.flutter,镜像 https://github.com/theyakka/qr.flutter
Another Query,weiwei/libpg_query,mirror of [libpg_query](https://github.com/pganalyze/libpg_query)
Flutter,flutter_components/flutter_utils,flutter常用工具组件
Another Query,Tony Pan/Master_Yet-Another-Serverless-Benchmark,Yet-Another-Serverless-Benchmark
Flutter,廖震/flutter_androidViewX,封装的Android相机预览组件，可以在Flutter里面直接使用
Another Query,operator/query,基于MybatisPlus 的@Query注解使用示例
Flutter,xiaoshuyui/flutter-desktop-embedding,flutter-desktop-embeddingflutter桌面开发组件
Another Query,pxs623/TanStack-query,"Visit tanstack.com/queryfor docs, guides, API and more!"
Another Query,Ma787639046/Query-as-context,Codebase for [EMNLP 2023 Main Conference Paper]Query-as-context Pre-training for Dense Passage Retrieval
Another Query,src-oepkgs/python-yaql,YAQL YetAnotherQueryLanguage
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Flutter,conghaonet/flutter_demo,flutter_demo
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Another Query,sarah.zhang.sz/Another_try,Createanotherrepository.
Flutter,HBLove/flutter_学习,flutter学习之路
Another Query,cls1991/12306-ticket-query,"12306车票查询工具, 支持余票订阅."
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Another Query,hchlq/my-query,react-query开源仓库的学习版本
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Another Query,陈文超/Another_eye,Another——EYE 仓库
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Another Query,chrunlee/simple-mysql-query,simple mysqlquerywith promise
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,bgoonz/query-string,Parse and stringify URLquerystrings
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,winshare/epidemic-query,Epidemic dataqueryand display project.
Another Query,Seth/react-hoc-query,HOC to help youqueryrestful data
Another Query,uxov/spring-data-jpa-simplify-query-example,"Simplify spring data JPAquery,dynamicquery,selecting specific columns."
Another Query,yinianqiao/weathe_query,weathe_query
Another Query,康康/another-one-fucking-boilerplate,"Yes,anotherone JS boilerplate."
AI,GMCY/Clever-Ai,智慧助手 CleverAi
AI,barbara-x/AI-Chip,"A list of ICs and IPs forAI, Machine Learning and Deep Learning."
AI,yuna/AI_teacher,aiteacher android
AI,张宇/AI-Imagery-back,AI-Imagery后端
AI,boyan520/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
AI,Lujun Lyu/AIRESAMPLE,AIresample
AI,donPabloNow/AI_Writer,AIWriter for Machine Learning for Hackers #8
AI,float996/neo-ai-dlr,git://github.com/neo-ai/neo-ai-dlr.git
AI,赵云/AIcomplier,AI编译器的参考文档，代码
AI,rosemarys/Tentcent.Ai,Tentcent.Ai
AI,pandaworks/panda.ai,EnableAIfor your web site with technologies like OpenAI ChatGPT and beyond
Another Query,Alexpad/query_rewrite,query_rewrite_code
Another Query,wlemuel/Cotable,YetAnotherCnblogs Client for Android
Another Query,周萌/react-query-guide,react-query练习
Another Query,枫之涯/another,仅用于学习交流，无任何非法用处，交流交流
AI,Zechen/AI-Crash-Course,《AI速成课：从AI编程到构建智能软件》源码
Another Query,github_repo/pg_query_go,github.com/pganalyze/pg_query_go
AI,华_style/ai_interview,一个掌控全网最新面试套路的AI，帮你提前锁定offer！
Another Query,woody/element-ui-query,advancedquerycomponent
AI,williamjava/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Another Query,focus/another,灰度策略管理器，为重构、业务迭代保驾护航。
AI,plannnnnce/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Another Query,bj_renyong/mybatis-plus-query-demo,mybatis-plus-query-generator的demo项目
AI,linekite/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Another Query,tree-sitter/tree-sitter-query,clone from https://github.com/nvim-treesitter/tree-sitter-query
AI,yangkang2021/All-In-AI,"2023年全部精力做AI,这里记录工作学习经历。"
Another Query,薛家明/easy-query-doc,easy-query-doc
AI,Wu Wenxiang/ai-data,存放各类ai训练数据
Another Query,忄以堪/query_dsl,query
AI,lmf-superJar/jp_ChatGPT_AI,简易的ChatGPTAI助手
AI,zd88923823/ai操盘,testaishow
AI,陈文豪/deloitte-ai,deloitte-ai
AI,loswdarmy/AI-For-Beginners,AI-For-Beginners 微软开源的入门级人工智能教程。这是一份完全免费、面向零基础人群的AI课程，为期 12 周共计 24 节课。你将学习到关于AI的历史、基本知识、主流框架、CV 和 NLP 等知识。
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Flutter,conghaonet/flutter_demo,flutter_demo
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Flutter,HBLove/flutter_学习,flutter学习之路
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,starplatinum111/process_query_results,https://gitee.com/starplatinum111/process_query_results/settings#index
Another Query,mamh-mixed/python-github-query,https://github.com/mamh-mixed/python-github-query
Another Query,mamh-java/influxdb-query-plugin,https://github.com/mamh-java/influxdb-query-plugin
Another Query,src-oepkgs/perl-RDF-Query,SPARQLQueryand Update implementation for RDF
Another Query,WeduYjj/SQL-query-processor,A memory aware and time efficient SQLqueryparser in Java using jsqlparser.
Another Query,mdao/query-orm-doc,query-orm 文档
Another Query,src-oepkgs/perl-uri-query,Class providing URIquerystring manipulation
Another Query,Hugging Face 模型镜像/query_wellformedness_score,Mirror of https://huggingface.co/Ashishkr/query_wellformedness_score
Another Query,furtherBank/device-query-tool,device-query-tool
Another Query,周健/lg-react-query,react-query
Another Query,苑爽/another-helloworld,A simple Java application that can be compiled into a .jar file using Maven.
AI,drlong(龙大)/urs-ai,urs-aiurs-aiurs-aiurs-aiurs-ai
AI,lidaopang/AI预警,AI预警平台的demo
AI,wuwenbin/ai-docstring,Fork ofai-docstring
AI,feadre/AI_aquarium,AI_aquarium 公开源
AI,xhb/discourse-ai,discouse-ai插件
AI,Tian/RuiTong-AI,构建AI模型并部署Web应用，预测二手车价格
AI,xpcf/snake-ai,a snakeAIwritten in python
AI,驼同学/AIrepo,用于保存AI的相关代码。
AI,zdevt/Ai-Thinker-LoRaWAN-Ra-08,https://github.com/Ai-Thinker-Open/Ai-Thinker-LoRaWAN-Ra-08
AI,Panda Guo/ai-travel,ai-travel mfw
AI,mfw_algo/ai-travel,ai-travel mfw
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Flutter,conghaonet/flutter_demo,flutter_demo
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Flutter,HBLove/flutter_学习,flutter学习之路
Another Query,yuanliwei/eui-search_bar-query,EUI search_barQueryexport
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Another Query,zhuchuan1978/another-helloworld,A simple Java application that can be compiled into a .jar file using Maven.
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Another Query,Hugging Face 数据集镜像/google_wellformed_query,Mirror of https://huggingface.co/datasets/google_wellformed_query
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Another Query,猫子/vue-router-query,在 vue-router 3.5.3 基础上 添加query路由方式 例如: http://www.xxx.com/?r=路由地址
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,a little bitter/Anotherbigdate,仅用于提交作业的无名仓库
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,meiqicheng/Yet-Another-EfficientDet-Pytorch,https://github.com/zylo117/Yet-Another-EfficientDet-Pytorch.git
Another Query,才大为/Another,一些自己写的小东西
Another Query,jaawu/js13k2019-yet-another-doom-clone,Yetanotherdoom clone (in 13kb of JavaScript)
Another Query,SamuelSue/RTK-Query-体验,Redux ToolkitQuery体验，将React-Query的优势用于Redux，便捷的实现请求数据的缓存和状态管理
Another Query,薛家明/easy-trans-easy-query-demo,easy-trans-easy-query-demo
Another Query,Hugging Face 数据集镜像/bing_coronavirus_query_set,Mirror of https://huggingface.co/datasets/bing_coronavirus_query_set
AI,wyao/ai-collection,接入ai产品demo
AI,kke/AI_kke,AIproject
AI,Admin/Wireless_AI,AIcases study in Wireless Communication Systems by Hu Zheng
AI,吴博/AI-For-Beginners,"备份仓库 12 Weeks, 24 Lessons,AIfor All!"
AI,Leehow/AILearning,AI学习路线
AI,sanmu/local-ai-proxy,当前ai服务器成本比较高，对于小白来说压力太大，所以想着把本地的ai代理到服务器上，以方便我们随时随地调用
AI,明台、皓轩～/AI_XUE_vue,ai_xue 配套前端 vue+ elementUI
AI,黎明AI/dawn-ai-admin,黎明AI先行版，采用了全新模式。
AI,陈郅皓/chatbot-ai,chatbotai助手
AI,techwolf/ai-benchmark,aibenchmark
AI,山野乔治/AI-X,ai-genesis
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Flutter,conghaonet/flutter_demo,flutter_demo
Another Query,Musker/whois-query,域名whois信息查询(支持上千种域名后缀查询)，提供网页与API两种方式，完全免费开放
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Another Query,Gitee 极速下载/yaql,"YAQL (YetAnotherQueryLanguage) is an embeddable and extensiblequerylanguage, that allows performing complex queries against"
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Another Query,朱芷萌/another-helloworld,helloworld
Flutter,HBLove/flutter_学习,flutter学习之路
Another Query,车承娟/another-helloworld,helloworld
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Another Query,Hugging Face 模型镜像/dragon-plus-query-encoder,Mirror of https://huggingface.co/facebook/dragon-plus-query-encoder
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Another Query,xionglei/elasticsearch-dynamic-query-demo,测试 https://github.com/wz2cool/mybatis-dynamic-query
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Another Query,mazhaohui/skywalking-query-protocol,skywalking-query-protocolskywalking-query-protocol
Another Query,Hugging Face 模型镜像/amazon-query-product-ranking,Mirror of https://huggingface.co/LiYuan/amazon-query-product-ranking
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,city/Get-Another-Label,Quality control code for estimating the quality of the workers in crowdsourcing environments
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,jieyi/Query_unicode,Java GUIQuery_unicode
Another Query,YanmanleLichen/just_another_seq2seq,Justanotherseq2seq repo
AI,冷暖風/wind-ai,wind-ai后端服务
AI,deepeye/AI-Studio,AI能力演示平台
AI,wcq509/AI-Job-Notes,AI算法岗求职攻略（涵盖准备攻略、刷题指南、内推和AI公司清单等资料）
AI,张博3121/2023AIProgram Design,for cdut 2023AIprogram design
AI,赵嘉伟/ai-wallpaper,ai-wallpaper ，采用springboot
AI,lwanqiang/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
AI,xin_zheng/ai-demo,基于百度智能云ai的识别系统
AI,zfy0228/ai基础,工作室福利题----ai基础
AI,OVER/AI,AI量化交易学习 重点学习自然语言处理
AI,zekdot/2048_AI_python,Python版本2048AI
AI,袁圆/AIDesign,跟随时代的潮流，走上AI的道路
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Another Query,silenceagle/Information_query,"Queryinformation of data sets, etc. from websites."
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Another Query,SamuelSue/react-query体验,代替redux，使用react-query请求并缓存数据
Flutter,conghaonet/flutter_demo,flutter_demo
Another Query,yunkai/cnblogs_query,querycnblogs
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Another Query,jmche/just_another_seq2seq,Justanotherseq2seq repo
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Another Query,csga31971/another-xcw-bot,while(true)魔改()
Flutter,HBLove/flutter_学习,flutter学习之路
Another Query,刘司元/Query,C++ Primer 第五版 第 562 页起的单词查询程序。 做了精简处理并添加了大量中文注释，便于阅读
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Another Query,多时/SSM_Query,后端项目：基于SSM框架，tomcat_query的改造版本。
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Another Query,Hugging Face 数据集镜像/query2doc_msmarco,Mirror of https://huggingface.co/datasets/intfloat/query2doc_msmarco
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Another Query,txlan/mybatis-dynamic-query,dynamicqueryfor mybatis
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,邓鹏/query-string,Parse and stringify URLquerystrings
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,ctfang/http_build_query,go 版本的http_build_query实现
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
AI,Miv2017/AI精灵,AI精灵是一款基于人工大模型的AI辅助工具。 包括了H5版本、Android版本、IOS版本等等。 这个仓库是预览版本介绍，不包括源代码。 需要源码或者购买授权，可以联系开发者。
Flutter,zmaojun/flutter_mvvm,fluttermvvm
AI,thy/ai-miniprogram,AI微信小程序 - ChatGPT
Flutter,conghaonet/flutter_demo,flutter_demo
AI,REbelive/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
AI,dongdong/baidu-ai,基于百度AI的api调用对应的接口，实现对应的功能
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
AI,jack/yousan.ai,yousan.aiyousan.ai
Flutter,HBLove/flutter_学习,flutter学习之路
AI,张利利/hw_ai,集合各类AI进行展示
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
AI,techwolf/AI_Agent,https://github.com/parallel75/AI_Agent
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
AI,zgc/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
AI,xxh_xu/AI,AIdraw
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,zyimm/laravel-query-builder,laravel-query-builder 是laravel框架根据已有配置来执行查询条件构造器服务包|Querycondition builder service package of laravel framework
AI,MindSpore/mindformers,MindSpore Transformers套件的目标是构建一个大模型训练、推理、部署的全流程套件： 提供业内主流的Transformer类预训练模型， 涵盖丰富的并行特性。 期望帮助用户轻松的实现大模型训练。 文档：https://mindformers
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,MinJieLiu/koa-query-pretty,类型化 GET 参数的 Koa 中间件
AI,Hugging Face 数据集镜像/ai-arxiv-chunked,Mirror of https://huggingface.co/datasets/jamescalam/ai-arxiv-chunked
Another Query,冯晓东/mybatis-plus-query-spring-boot-starter,mybatis-plus-query查询快速开始
Another Query,Jinky-X/Yet-Another-Anime-Segmenter,Instance segmentation for anime characters based on CondInst and SOLOv2
Another Query,theshadow121/Yet-Another-EfficientDet-Pytorch,The pytorch re-implement of the official efficientdet with SOTA performance in real time and pretrained weights.
Another Query,康康/query-param-getter,Client module for grabbingqueryparameters by name from the URL.
Another Query,山东大李逵/another,another
Another Query,src-oepkgs/python-odata-query,An OData vqueryparser and transpiler for Python
Another Query,src-oepkgs/vim-thesaurus_query,Multilanguage ThesaurusQueryand Replacement plugin for Vim
Another Query,MikhailTapio/AnotherForgeEssentials,AnotherForgeEssentials
Another Query,JiangZQYW/Yet-Another-EfficientDet-Pytorch,The pytorch re-implement of the official efficientdet with SOTA performance in real time and pretrained weights.
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
Another Query,LayHe/Yet-Another-EfficientDet-Pytorch,The pytorch re-implement of the official efficientdet with SOTA performance in real time and pretrained weights.
Flutter,zmaojun/flutter_mvvm,fluttermvvm
Another Query,yasuo_hao/Yet-Another-EfficientDet-Pytorch,The pytorch re-implement of the official efficientdet with SOTA performance in real time and pretrained weights.
Flutter,conghaonet/flutter_demo,flutter_demo
Another Query,Mistrain-y-y/query-state,react-query同步状态管理
Flutter,zhangzhen/flutter_upgrader,"一个Flutter应用升级插件, 支持 Android 和 IOS, 插件的构思和设计来均自于flutter_app_upgrade"
Another Query,src-oepkgs/engine-db-query,A python module toqueryengine database
Flutter,KeKe/flutter_module,原生项目中引入的FlutterModule
Another Query,乐居广告智能投放团队/YetAnotherCI Framework,YetAnotherCI Framework
Flutter,HBLove/flutter_学习,flutter学习之路
Another Query,sesepp/Yet-Another-EfficientDet-Pytorch,https://github.com/zylo117/Yet-Another-EfficientDet-Pytorch
Flutter,点石/flutter_nim,A newFlutterplugin for netease im sdk.
Flutter,kisr/awesome-flutter-plugins,🔥🔥 收集好用的Flutter插件以便更效率的开发 来源于：https://github.com/jahnli/awesome-flutter-plugins
Another Query,yuhai/graphql-query-complexity,https://github.com/slicknode/graphql-query-complexity
Flutter,imboy-tripartite-deps/flutter_animate,镜像 https://github.com/gskinner/flutter_animate.git
Another Query,陈乾珲/another+gitee,another+gitee
Flutter,imboy-tripartite-deps/flutter-elinux,镜像 https://github.com/sony/flutter-elinux.git
Another Query,jasmhusc/Query-Rewrite,使用HMM和DAG进行电商搜索的查询改写
Flutter,灰狐/flutter_marquee,从 https://github.com/LiuC520/flutter_marquee 复制
Another Query,dromara/stream-query-docs,stream-query文档项目
Another Query,Lyle Shaw/Yet-Another-EfficientDet-Pytorch,The pytorch re-implement of the official efficientdet with SOTA performance in real time and pretrained weights.
AI,Hugging Face 数据集镜像/AI-Superstar-Dataset,Mirror of https://huggingface.co/datasets/FourthBrainGenAI/AI-Superstar-Dataset
AI,Hugging Face 数据集镜像/wix_looker_ai,of https://huggingface.co/datasets/kandriiashevskyi/wix_looker_ai
AI,senime/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
AI,Ran-oops/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
AI,Benben Miao/Awesome-AI,"AwesomeAIChat (ChatGPT4...) , Code (Github Copilot...), Read (ChatPDF...), Paint (Midjourney...), Write (NotionAI...), Audio"
AI,Goldgom/AI-MaQian,基于贪心网络的中国象棋AI
AI,Brath/scene-ai,场景AI，选择一款场景开始你的唇齿之旅吧！
AI,有梦想的咸鱼11/yousan.ai,https://github.com/longpeng2008/yousan.ai.git
AI,leibin/jstarcraft-ai,https://github.com/HongZhaoHua/jstarcraft-ai.git
AI,MindSpore/serving,A lightweight and high-performance service module that helps MindSpore developers efficiently deploy online inference services
AI,frankwang98/autoware_ai_comment,autoware.ai1.13，仅供学习用
Flutter,CoderXb/flutter_demo,"Some small demos based on theFlutterframework, as well as study notes"
